Job ID 1,Job ID 2,Similarity Score
07213bcc5db0efec311b1884459defed,1c5537bc259b3626ef799ac347127da6,0.876
07213bcc5db0efec311b1884459defed,1fc37ae35d50f6fd4bd3ee7dc87ae8bb,0.8941
07213bcc5db0efec311b1884459defed,2a09146b4d1014bbca996cf76bcac34c,0.8948
2b47f7593850acb933f9d66892a9a830,3e3769ea2d1ef66b89bc6f08c14f791b,0.8813
7fd24daece39a17469bafe33e068bdd5,4d860c15375e68421a45a0e5b9b6c7f3,0.9121
7fd24daece39a17469bafe33e068bdd5,fd6c11d398802e53f7a071175a3e46ce,0.9421
7b989273175e835062112efbc672ca7f,5e4faedd20a05d154d61791f3f365acf,1.0376
7b989273175e835062112efbc672ca7f,2e68a0acae9a78be8787ca1860003449,1.0673
597eacb73d48a2478c094cf72aa836ba,1d54a2490f437e8982b92c504c45b73e,0.9131
597eacb73d48a2478c094cf72aa836ba,ffcdf56a8464ff982bedd83733dad3bb,0.9316
597eacb73d48a2478c094cf72aa836ba,fd86af00144fd8c56dfe6932691eaf58,0.967
597eacb73d48a2478c094cf72aa836ba,ac90bbf5e43c15270c2afb3ce2c81ede,0.9722
bae5b5fcf4c4cb48a0ed6f6bec28f1e4,910a95fd7c0631cadfe0f84171567ba8,0.9739
9a06de49489cc01f5fb0360d2bf8ae52,e7a99bdcaf0b9d35506fbd29cae1ddd4,0.8501
9a06de49489cc01f5fb0360d2bf8ae52,c292e6598e4bb2af72a58f657a5d74f2,0.8589
9a06de49489cc01f5fb0360d2bf8ae52,4dafce17c5121668ea6d7568acd23479,0.8689
9a06de49489cc01f5fb0360d2bf8ae52,54e0d039249e54469a5e795c070898e6,0.8709
a6887306936cc8c18063c7bca9b47648,30102fecf59648afbb2ec7f651490706,0.8565
a6887306936cc8c18063c7bca9b47648,3088aafd0351ca569aca35e1ccaeb66f,0.8917
77483d3f173d5fd951e61dd4b972c703,3cf596a1a8610c8c6a4dc60194fc4e0e,0.9652
77483d3f173d5fd951e61dd4b972c703,dcf50ee0bb7fb23c12fb7fde1376da47,0.9788
77483d3f173d5fd951e61dd4b972c703,2d3e0924024e6036b82062c1c94b4cc7,0.9947
77483d3f173d5fd951e61dd4b972c703,73b7212775f78eb45e9dc2ca842678f1,1.0073
77483d3f173d5fd951e61dd4b972c703,d4ec35c9fc67a40c13674235d02ace62,1.0094
ce38eb50243c75344afc81bbe055694e,8f44d4ef156587e5072c2a86dce79e22,0.8513
ce38eb50243c75344afc81bbe055694e,edb8e1c963d10652ec40593e2c524385,0.868
ce38eb50243c75344afc81bbe055694e,a7e971b713e37df2af7365f44d704713,0.8684
af7851056f6147f30002b386c16c2db2,972a6112a91bbf55d3315a57e9c71ac2,0.8679
af7851056f6147f30002b386c16c2db2,597e2eb0127697e37f0c69f30cfe6ed7,0.8679
af7851056f6147f30002b386c16c2db2,6e13f0fd8749deca9144ad5db2d8fda5,0.8754
287a0cf192805ef15c5b085eba2d40fd,5e4faedd20a05d154d61791f3f365acf,1.0279
287a0cf192805ef15c5b085eba2d40fd,2e68a0acae9a78be8787ca1860003449,1.0598
